user_name,video_length,video_link,n_likes,n_shares,n_comments,n_plays
dixieloutheboston,15,https://www.tiktok.com/@dixieloutheboston/video/6997749359836253445?lang=en,800700,100700,23800,8000000
allaboutbranch,7,https://www.tiktok.com/@allaboutbranch/video/6996487534075219205?lang=en,944600,41600,6370,7700000
renatosimaousa,16,https://www.tiktok.com/@renatosimaousa/video/6997511194047253765?lang=en,215800,45800,5923,6700000
campuzanoabelardo,66,https://www.tiktok.com/@campuzanoabelardo/video/6987921399197355270?lang=en,1000000,36400,15300,6200000
el.tigre.g,8,https://www.tiktok.com/@el.tigre.g/video/6980139750690950405?lang=en,247500,80600,1524,6100000
kotogallery,8,https://www.tiktok.com/@kotogallery/video/6990762859294739718?lang=en,310300,112500,3955,5700000
adriellymoura72,14,https://www.tiktok.com/@adriellymoura72/video/6996066110370106629?lang=en,228000,9693,0,5600000
caner.ozturk0,15,https://www.tiktok.com/@caner.ozturk0/video/6993001872311307522?lang=en,55900,15800,8431,5500000
turboadrian,13,https://www.tiktok.com/@turboadrian/video/6990944851974049029?lang=en,283100,7464,6966,5500000
mimisskate,10,https://www.tiktok.com/@mimisskate/video/6997435665835117826?lang=en,926100,5052,9661,5300000
eltampiquenocheese,58,https://www.tiktok.com/@eltampiquenocheese/video/6994604181113916678?lang=en,270600,79000,1114,4800000
thesalguerofam,43,https://www.tiktok.com/@thesalguerofam/video/6994558899277860102?lang=en,769700,3881,1809,4800000
kylethomas,10,https://www.tiktok.com/@kylethomas/video/6985835266170801413?lang=en,502900,1480,2617,4800000
virtuousovercomer,56,https://www.tiktok.com/@virtuousovercomer/video/6985122268267564293?lang=en,265100,72400,3599,4200000
eddieonwheels,83,https://www.tiktok.com/@eddieonwheels/video/6976373660789558534?lang=en,364100,96600,12300,4100000
thekittyshome,11,https://www.tiktok.com/@thekittyshome/video/6981733872493022469?lang=en,399100,45200,4824,4000000
gofetch,29,https://www.tiktok.com/@gofetch/video/6997079258170412293?lang=en,531700,73800,8147,3700000
dogyuan,10,https://www.tiktok.com/@dogyuan/video/6990783532817861894?lang=en,314600,19400,4375,3500000
towtruck.jess,15,https://www.tiktok.com/@towtruck.jess/video/6992732626725457157?lang=en,320400,870,2289,3400000
agustinduran83,15,https://www.tiktok.com/@agustinduran83/video/6984901159383272710?lang=en,66300,24900,2219,3400000
the_mannii,9,https://www.tiktok.com/@the_mannii/video/6998656780423220486?lang=en,492600,10000,5326,3300000
maverick_and_cooper,9,https://www.tiktok.com/@maverick_and_cooper/video/6997125969622371590?lang=en,288400,31600,5609,3200000
leytink,9,https://www.tiktok.com/@leytink/video/6981034718573628674?lang=en,316500,896,5038,3100000
kittenrhardingile,13,https://www.tiktok.com/@kittenrhardingile/video/6976603075997912325?lang=en,547100,22200,8800,3100000
carmenanaly,13,https://www.tiktok.com/@carmenanaly/video/6978156368670854406?lang=en,121800,42300,1662,3100000
bigsteppa903_,8,https://www.tiktok.com/@bigsteppa903_/video/6998595130177391877?lang=en,217700,26200,6076,3000000
kylethomas,8,https://www.tiktok.com/@kylethomas/video/6991151034747931910?lang=en,342000,1687,21500,2900000
anxietycouple,8,https://www.tiktok.com/@anxietycouple/video/6999803276136926470?lang=en,250500,4295,1781,2800000
basii_17,11,https://www.tiktok.com/@basii_17/video/6998712636040875270?lang=en,488800,9253,4119,2400000
kirito_jose1,11,https://www.tiktok.com/@kirito_jose1/video/6977566892558912774?lang=en,475300,34500,4790,2400000
popsthedancer_,15,https://www.tiktok.com/@popsthedancer_/video/6994227135300799750?lang=en,227100,23200,9704,2300000
d_elii,15,https://www.tiktok.com/@d_elii/video/6981549227973348613?lang=en,140700,27600,3056,2200000
sexy_human_,11,https://www.tiktok.com/@sexy_human_/video/6999390104183721218?lang=en,147300,13000,1335,2100000
coco_world7,8,https://www.tiktok.com/@coco_world7/video/6992214350723419398?lang=en,70700,31300,1474,2000000
kylethomas,12,https://www.tiktok.com/@kylethomas/video/6988917301248527622?lang=en,182500,865,1155,1700000
kylethomas,10,https://www.tiktok.com/@kylethomas/video/6988517130945744133?lang=en,155400,472,933,1600000
video.7777,11,https://www.tiktok.com/@video.7777/video/6992511444008832262?lang=en,95000,3150,1134,1300000
meeya.xo,10,https://www.tiktok.com/@meeya.xo/video/6998246666184707334?lang=en,186200,17200,2161,1200000
gainsunit1984,8,https://www.tiktok.com/@gainsunit1984/video/6993936000498076933?lang=en,60900,11900,1205,1200000
mimisskate,13,https://www.tiktok.com/@mimisskate/video/6968829031366118657?lang=en,40000,323,341,1000000
therealherk,7,https://www.tiktok.com/@therealherk/video/6999310380799479045?lang=en,42700,5468,738,954700
mimisskate,11,https://www.tiktok.com/@mimisskate/video/6998969815847161089?lang=en,115500,249,1136,919800
proud2bemexican,8,https://www.tiktok.com/@proud2bemexican/video/6998689410070088966?lang=en,60300,7656,694,882800
caner.ozturk0,15,https://www.tiktok.com/@caner.ozturk0/video/7000078345287240961?lang=en,3438,484,489,342500
happpyyydog,7,https://www.tiktok.com/@happpyyydog/video/6978294085530488070?lang=en,12200,5130,220,291300
